"check","value"
"Occupied wells in layout","72"
"Layout wells missing from absorbance CSV","0"
"Max disagreement between absorbance CSV and full report","0"
"Standard concentrations with replicate CV > threshold",""
"Standard wells flagged as outliers","0/18 ()"
"Standard curve R^2 (outlier-excluded, replicate level)","0.9992"
"Standard curve R^2 (all wells, replicate level)","0.9992"
"Standard wells that LOST signal over the run","15/18"
"Standards above photometric linearity ceiling",""
"Background control wells behaving as active reactions","3/3"
"Sample wells with a decreasing trace","1/48"
"Sample wells with an elevated starting A412","0/48 ()"
"Samples with ALL THREE replicates baseline-compromised","0/16 ()"
"Sample wells with a read glitch","0/48"
"Sample wells usable for rate extraction","47/48"
"Samples with technical CV > threshold (all reps)","1/16"
"Samples with technical CV > threshold (usable reps)","0/16"
"Positive control replicates rising and linear","3/3"
